question,topic,document
¿Por qué muchos de los 52 espacios recreativos en el Centro Histórico son considerados inseguros por la población residente?,PMD,eed016e4
¿Cuál es la cobertura del recubrimiento de vialidades y alumbrado público en el Centro Histórico?,PMD,4bc92cfb
¿Cómo afecta el deterioro de la infraestructura a la conectividad de la zona?,PMD,4bc92cfb
¿En qué parte del Centre Histórico es más alta la cantidad de rutas de transporte?,PMD,bb076a16
¿Qué forma de movilidad en el Centro Histórico tiene mayor probabilidad de incidentes?,PMD,bb076a16
¿Qué detalles especifica sobre el deterioro progresivo del patrimonio edificado en el Centro Histórico de Puebla?,PMD,f38adb9f
¿Por qué se erosionan las prácticas culturales tradicionales de la población en los barrios históricos del Centro Histórico?,PMD,f38adb9f
¿Qué tipo de transporte público cubre la zona urbana en Puebla?,PMD,cfeffd05
¿Qué caracteriza a la red urbana de transporte en Puebla?,PMD,cfeffd05
¿Qué aspectos del modelo hombre-camión de transporte concesionado son poco eficientes?,PMD,9ac90870
¿Cuáles son los problemas asociados al esquema financiero que regula el transporte concesionado por camión en Puebla?,PMD,9ac90870
¿Qué líneas troncales opera el sistema RUTA y qué modelo de operación sigue?,PMD,8f8517b3
¿Cuáles son las características del sistema RUTA en cuanto a la cantidad de rutas alimentadoras?,PMD,8f8517b3
¿Qué ventajas ofrece el sistema RUTA en comparación con el transporte concesionado en términos de calidad del servicio?,PMD,c4dc534e
¿Cómo se distingue el sistema RUTA en cuanto a tiempos de espera y accesibilidad universal frente al transporte concesionado?,PMD,c4dc534e
¿Qué proporción de familias en el municipio de Puebla cuenta con acceso al transporte RUTA de acuerdo con el Programa de Vivienda?,PMD,858b5299
¿Qué indica el Programa de Vivienda sobre el acceso de las familias al sistema RUTA en Puebla?,PMD,858b5299
¿Cuáles son los lugares de Puebla donde la mayoría no tiene acceso a sistema de transporte de RUTA?,PMD,3c904157
¿Qué zonas en Puebla tienen un recortado acceso con el sistema RUTA?,PMD,3c904157
¿Cuáles son los planes de movilidad para la zona del Centro Histórico?,PMD,62cc2259
¿Cómo se promueve el uso de bicicletas y transporte público en el área residencial del Centro?,PMD,62cc2259
¿Qué mejoras se realizan en transporte público dentro del Centro Histórico?,PMD,f574f3db
¿Se crean rutas específicas dentro del área peatonal?,PMD,f574f3db
¿Cómo mejorar la conexión entre diferentes sectores urbanos en una ciudad?,PMD,cc16f0ce
¿Qué medio de transporte es ideal para unir distintas áreas dentro de un municipio?,PMD,cc16f0ce
¿Qué se puede hacer para aprovechar mejor los estacionamientos existentes en Centro Histórico?,PMD,47a91e3a
¿Cómo se pueden desarrollar nouvelles zonas de estacionamiento ofreciendo incentivos a los inversionistas?,PMD,47a91e3a
¿Cuál es una tecnología que avisa sobre espacios disponibles de estacionamiento en Centro Histórico?,PMD,3e429a18
¿Cómo pueden los automovilistas encontrar cajones de estacionamiento disponibles con apoyo tecnológico?,PMD,3e429a18
¿Cuáles son las calles que pueden beneficiar de la peatonización?,PPDUS,c052fe36
¿Cómo se incentivarán los paseos familiares a través de esta iniciativa?,PPDUS,c052fe36
¿Qué es la colaboración del gobierno con la RUTA para implementar corredores troncales?,PPDUS,cc2bc9d8
¿Cuál es el contexto urbano involucrado en los corredores troncales de la RUTA?,PPDUS,cc2bc9d8
¿Qué sistema de transporte se integrará?,PPDUS,d19ac865
El tipo de transporte interbarrial que implementarán es qué?,PPDUS,d19ac865
¿A qué se refieren los estudios técnicos relacionados con el transporte público convencional?,PPDUS,0ae01e52
¿Cuál será la situación del transporte público convencional después de realizar estos estudios?,PPDUS,0ae01e52
¿Qué acciones se contemplan para integrar la intermodalidad entre el sistema RUTA y el transporte interbarrial?,PPDUS,8e16fbc0
¿Qué medidas se incluirán en el entorno próximo del sistema RUTA para apoyar la intermodalidad con el transporte público interbarrial?,PPDUS,8e16fbc0
¿Qué programas de transporte público es obligatorio implementar?,PPDUS,8fbf1c32
¿Cuál tipo de transporte escolar y laboral será necesario?,PPDUS,8fbf1c32
¿Qué servicio se puede pagar con una tarjeta multimodal?,PPDUS,fd104614
¿Qué ventaja ofrece utilizar un sistema de tarjeta prepago en la zona de estudio?,PPDUS,fd104614
¿Qué puntos estratégicos se elegirán para ubicar los nuevos paraderos turísticos?,PPDUS,4520228e
¿Qué tipos de servicios se proporcionarán dentro de cada uno de estos paraderos?,PPDUS,4520228e
¿En qué zonas se planea la construcción de estacionamientos disuasorios y cómo se integrarán con otros modos de transporte?,PPDUS,2f3935b4
¿Dónde se ubicarán los estacionamientos disuasorios y cómo apoyarán la movilidad de los usuarios?,PPDUS,2f3935b4
pregunta1,PPDUS,358f873e
pregunta2,PPDUS,358f873e
¿Cuáles son las características de los proyectos de crecimiento de estacionamientos existentes?,PPDUS,49fd5426
¿Qué grupos beneficiados recibirán incentivos para desarrollar proyectos de crecimiento de estaciones?,PPDUS,49fd5426
¿Qué medidas se tomarán para mejorar los cruceros seguros y cuál será su objetivo en términos de movilidad?,PPDUS,d779c604
¿Cómo se pretende aumentar la seguridad en los cruceros y qué beneficios se espera para peatones y ciclistas?,PPDUS,d779c604
pregunta1,PPDUS,716211c9
pregunta2,PPDUS,716211c9
¿El objetivo de qué programas reduce la dependencia del autos privados?.,PPDUS,5332191c
¿Qué tipo de campañas se lanzarán para reducir el uso de automóviles personales?,PPDUS,5332191c
¿De qué manera informarán tecnologías electrónicas a los conductores sobre la disponibilidad de espacios de estacionamiento para encontrar uno en el lugar donde estudian?,PPDUS,6fd2f669
¿Cuál es la finalidad de implementar sistemas electrónicos en parqueaderos y dispositivos moviles?,PPDUS,6fd2f669
pregunta1,PPDUS,30bc6bf5
pregunta2,PPDUS,30bc6bf5
¿Qué se buscará reducir en las nuevas calles para mejorar la seguridad peatonal?,PPDUS,9780ecb6
¿Cuál es el objetivo principal de los nuevos diseños viales para ciclistas y peatones?,PPDUS,9780ecb6
¿Qué características se considerarán dominantes a la hora de realizar mantenimiento básico a guarniciones?,PPDUS,7a276999
¿Cómo se adaptará el mantenimiento básico a guarniciones a las condiciones específicas del sitio?,PPDUS,7a276999
¿Qué acciones se llevarán a cabo para la homogenización del material en guarniciones?,PPDUS,69166b77
¿Qué tipo de sustitución se realizará en banquetas con materiales diferentes al perfil dominante?,PPDUS,69166b77
¿Qué tipo de pavimentos se encuentran dañados o en mal estado para ser sustituidos?,PPDUS,fed9ff44
¿Cuáles son las razones principales por las que se decide la sustitución de los pavimentos?,PPDUS,fed9ff44
¿Qué programas se implementarán para la sustitución de vialidades?,PPDUS,0a5b55ac
¿Qué materiales de superficie de rodamiento se utilizarán en las vialidades?,PPDUS,0a5b55ac
¿Qué tipo de material estará presente en las vialidades?,PPDUS,3d774e56
¿Por qué se colocará ese específico recurso vial?,PPDUS,3d774e56
¿Qué materiales se utilizarán para la homogenización de guarniciones y banquetas y cómo se implementará este proceso?,PPDUS,c09f32ac
¿Qué materiales predominantes se emplearán en la homogenización de guarniciones y banquetas y cuál es el objetivo de esta uniformidad?,PPDUS,c09f32ac
¿Qué características se incorporarán en los Paseos Seguros para mejorar la movilidad de peatones y ciclistas?,PPDUS,ef7cc916
¿Cómo se diseñarán los Paseos Seguros para facilitar el tránsito peatonal y no motorizado?,PPDUS,ef7cc916
¿Cuál es la capacidad del establacimiento de la Red de Bicicletas Públicas (RBP)?,PPDUS,dc840075
¿En cuáles zonas del Municipio conectará la RBP con la zona de estudio?,PPDUS,dc840075
¿Se construirán biciestacionamientos cerca de zonas turísticas y comerciales?,PPDUS,38f2ad8d
¿Qué funciones tendrán los biciestacionamientos del sistema públicamente disponible?,PPDUS,38f2ad8d
¿Qué beneficios ofrecerá a los propietarios de estacionamientos públicos instalar biciestacionamientos en sus espacios?,PPDUS,f0c6bdf7
¿Cuál es el incentivo para incentivar el uso de la bicicleta mediante la instalación de biciestacionamientos en estacionamientos públicos?,PPDUS,f0c6bdf7
¿Cuáles son las características del servicio de bicitaxis implementado?,PPDUS,c0aced56
¿Cómo serán establecidas y qué se reflejará en las cargas para los usuarios?,PPDUS,c0aced56
¿Se colocarán biciestacionamientos junto a equipamientos urbanos existentes?,PPDUS,04782c2c
¿Qué tipo de lugares tendrán los biciestacionamientos de corta estancia?,PPDUS,04782c2c
¿Objetivo del cierre de calles los fines de semana?,PPDUS,9aff0296
¿Cómo beneficiará a la población y al comercio el cierre de calles los fines de semana?,PPDUS,9aff0296
¿Qué cambios se incluirán en el nuevo Reglamento de Tránsito Municipal?,PPDUS,c4667cbb
¿Por qué es necesario actualizar el Reglamento de Tránsito Municipal para incluir nuevos modos de transporte?,PPDUS,c4667cbb
¿Se abordará la construcción de carriles para prioridad ciclista y cómo se integrarán a los sistemas de transporte?,PPDUS,559208c6
¿Qué tipo de conexiones habrá entre la infraestructura ciclista y los paseos seguros?,PPDUS,559208c6
¿Cuáles calles se identificarán como peatonales?,PPDUS,67bdd481
¿Cuáles son los objetivos de la peatonización?,PPDUS,67bdd481
¿Qué infraestructura tiene el Municipio de Puebla para la conectividad?,PMD,93ed9b74
¿Cómo está integrada la red del Municipio de Puebla regionalmente en cuanto a conectividad?,PMD,93ed9b74
preguntas,PMD,edb9c6dd
¿Qué áreas específicas del Municipio de Puebla se consideran prioritarias para la inversión en infraestructuras?,PMD,ec962d33
¿Cuáles son los sectores o zonas más críticos que necesitan mejoras en sus condiciones físicas dentro del territorio municipal?,PMD,ec962d33
¿A qué lugares específicos se deben dirigir las inversiones para mejorar la infraestructura pública en Puebla?,PMD,591c52a6
¿Qué áreas o comunidades de Puebla requieren atención prioritaria a través de inversión en mejoramiento de la infraestructura?,PMD,591c52a6
¿Qué condiciones físicas precisan la infraestructura de los barrios y colonias del Centro Histórico del ser invertidos?,PMD,35b0b24d
¿De qué manera está afectado el estado de las localidades rurales por falta de inversiones en su infraestructura?,PMD,35b0b24d
¿Cuál es la cantidad mínima de agua por persona que se garantiza en proyectos de infraestructura?,PPDUS,868b3b9e
¿Cuántos litros de agua potable debe proporcionarse por día a cada persona en proyectos de infraestructura?,PPDUS,868b3b9e
¿Qué normatividad es aplicada para infraestructura de drenaje y alcantarillado?,PPDUS,2dca4e8b
Deben ser sistemas separados los relacionados a aguas residuales y pluviales?,PPDUS,2dca4e8b
¿Qué norma regula la promoción del agua pluvial subterránea?,PPDUS,6ac777ac
¿Cómo aumentar la infiltración artificial del agua pluvial según la NOM-015?,PPDUS,6ac777ac
¿Qué elementos deben garantizarse siempre en la instalación de alcantarillado sanitario?,PPDUS,884ed4cb
¿Qué requisitos estructurales son obligatorios para los proyectos de redes de alcantarillado?,PPDUS,884ed4cb
¿Qué período de tiempo deben abarcar todas las planificaciones de proyectos de infraestructura?,PPDUS,c52f49bf
"¿Cuántos años, como mínimo, deberán contemplarse para cualquier proyecto relacionado con la infraestructura?",PPDUS,c52f49bf
¿Qué medidas están tomando la Secretaría de Movilidad e Infraestructura para mejorar vialidades y movilidad urbana en Puebla?,PMD,c4a566d4
¿Qué acciones concretas llevarán a cabo para implementar un programa de peatonalización temporal de las calles del Centro Histórico?,PMD,c4a566d4
"¿Qué estrategia se está implementando para proteger y conservar el Centro Histórico, Áreas Patrimoniales y Monumentos?",PMD,df79bc54
¿Cuáles son las líneas de acción desarrolladas para transmitir la riqueza y autenticidad del patrimonio histórico cultural del centro histórico?,PMD,df79bc54
¿Cuál describe uno objetivo principal preservación del Centro Histórico?,PMD,f8c17c86
¿A qué se refiere fortalecer cuidado urbano del Centro Histórico?,PMD,f8c17c86
"¿Qué acciones se tomarán para fortalecer el valor social, cultural, histórico y patrimonial del Centro Histórico?",PMD,5f02eefc
¿Cómo se pretende consolidar el Centro Histórico como símbolo de identidad mediante la conservación y mejoramiento de su habitabilidad?,PMD,5f02eefc
¿Cuántas acciones se generarán para la conservación y preservación de inmuebles en los polígonos de actuación del Centro Histórico?,PMD,4e812cf0
¿Qué cantidad de acciones está prevista para proteger y conservar los inmuebles dentro del Centro Histórico?,PMD,4e812cf0
¿Qué cantidad de medidas de conservación hay dentro del Centro Histórico?,PMD,d8d81c86
¿Qué tipo de acciones se realizan en inmuebles dentro del polígono histórico?,PMD,d8d81c86
¿Quién es la jefa del Centro Histórico?,PMD,7abff358
¿Cuál es el cargo de Berenice Vidal Castelán?,PMD,7abff358
¿Qué autoridad tiene a cargo la gestión del Centro Histórico?,PMD,86544762
¿Cuál es el nombre de la función pública que se encarga del mismo Centro?,PMD,86544762
"¿De qué manera ayudará el Eje 4 al repoblamiento y al mejoramiento urbano del Centro Histórico, y cómo protegerá el patrimonio histórico cultural?",PPDUS,674ef55b
¿Qué rol jugará el Eje 4 en la preservación del patrimonio histórico cultural mientras contribuye al mejoramiento urbano del Centro Histórico?,PPDUS,674ef55b
¿Cuándo fue reconocido oficialmente como Zona de Monumentos Históricos?,PPDUS,7f5bb88b
¿Qué año marcó el inicio del proceso para ser protegida como Área cultural?,PPDUS,7f5bb88b
¿Qué extensión tiene actualmente la superficie del Centro Histórico de Puebla?,PPDUS,164cb1ee
¿Cuánto abarca en kilómetros cuadrados la zona de estudio del Centro Histórico en la actualidad?,PPDUS,164cb1ee
¿Cuáles son los procedimientos obligatorios para mantener la relevancia de los monumentos históricos categoría 2?,PPDUS,fe9400ad
¿Qué se debe considerar para conservar y preservar los patrimonios arquitectónicos mediante su restauración?,PPDUS,fe9400ad
¿Qué decreto establece la Zona de Monumentos Históricos en la Ciudad de Puebla de Zaragoza?,PPDUS,6cf69d83
¿Cuál es el documento que declara una zona de monumentos históricos en Puebla y que obliga a la conservación de los monumentos relevantes?,PPDUS,6cf69d83
¿Qué acciones de desarrollo urbano permitirá el Acuerdo de Cabildo dentro del Zonificación del Centro Histórico?,PPDUS,ac6f2cd1
¿Cuáles son los principios principales que regulan la toma de decisiones para las iniciativas urbanísticas en esa área histórica?,PPDUS,ac6f2cd1
¿Qué iniciativas mejorarán la accesibilidad y eficiencia vial peatonal del área del Centro Histórico?,PPDUS,21277c13
¿De qué manera se asegurará igualdad de oportunidades a todos los usuarios al utilizar las áreas recién mejoradas en el corazón de la ciudad?,PPDUS,21277c13
¿Prioriza la rehabilitación de espacios públicos el Programa Parcial?,PPDUS,2ba32458
¿Incluye mejoras en servicios urbanos la estrategia del Centro Histórico?,PPDUS,2ba32458
¿Qué restorationes se llevan a cabo en lugares históricos del Centro Histórico?,PPDUS,d651f911
¿ qué actividades se promovén para fortalecer la cultura de dicho lugar?,PPDUS,d651f911
¿Qué tipo de participación ciudadana busca fomentar el Plan de Manejo del Centro Histórico?,PPDUS,04545db2
¿Por qué la gestión y conservación son tan importantes para el patrimonio?,PPDUS,04545db2
¿Qué tipo de necesidades tiene la infraestructura del Centro Histórico según el diagnóstico urbano?,PPDUS,6260a4c8
¿Qué condición se encuentra en la red de infraestructura del centro histórico?,PPDUS,6260a4c8
¿Cuál es el propósito detrás del intento por revertir la disminución de población en el centro histórico?,PPDUS,ee0a9635
¿Cómo se pretende revitalizar una zona con tendencia a la decadencia demográfica?,PPDUS,ee0a9635
¿Cuáles son las áreas a proteger en el Centro Histórico según el Acuerdo de Cabildo?,PPDUS,c4986d1a
¿Qué tipo de espacios se crearán según el Acuerdo de Cabildo en el Centro Histórico?,PPDUS,c4986d1a
¿Cuál es la proporción del sector terciario dedicado al comercio minorista en el Centro Histórico?,PPDUS,5bb89c40
"¿Hay algún otro tipo de unidad económica importante en el Centro Histórico, además del comercio minorista?",PPDUS,5bb89c40
¿Qué áreas necesitan mayores inversiones dentro del Centro Histórico según un diagnóstico de servicios públicos?,PPDUS,d78a38f6
¿Cuáles van a ser la principales reparaciones que deben hacerse en ese sentido?,PPDUS,d78a38f6
¿Qué medidas respecto al tráfico vehicular se incluyen en el Plan Parcial del Centro Histórico?,PPDUS,0386da35
¿Cómo aborda el Plan Parcial del Centro Histórico la restricción del tráfico vehicular y la creación de zonas peatonales?,PPDUS,0386da35
¿Qué iniciativas tienen previstas para destacar la riqueza histórica del área?,PPDUS,dc31c03f
 ¿Cuáles serán los detalles principales de las rutas turísticas que se crearán?,PPDUS,dc31c03f
¿De qué manera contribuye la rehabilitación de fachadas al atractivo turístico y económico del Centro Histórico?,PPDUS,c9cf8c30
¿Cómo mejora la imagen urbana la rehabilitación de fachadas en el Centro Histórico?,PPDUS,c9cf8c30
¿Por qué busca fomentar la inclusión social el Programa Parcial de Desarrollo Urbano?,PPDUS,d394f6ce
¿Qué residuos específicos busca promover en los residentes del Centro Histórico?,PPDUS,d394f6ce
¿Cuántos espacios recreativos son identificados en el Centro Histórico?,PPDUS,ad1e57e7
¿Qué característica comparte la mayoría de los espacios recreativos encontrados en el Centro Histórico?,PPDUS,ad1e57e7
¿Qué se enfatiza sobre la participación ciudadana por parte del Acuerdo de Cabildo?,PPDUS,6e260f78
¿Cuál es el papel de la comunidad en la preservación del Casco Histórico según establece dicha convención?,PPDUS,6e260f78
¿Qué entidades y sectores participan en la gestión y desarrollo sustentable del Centro Histórico?,PPDUS,fe8d73d6
¿Cómo está organizada la gestión y desarrollo sustentable del Centro Histórico en términos de instituciones y sectores sociales involucrados?,PPDUS,fe8d73d6
¿Cuál es finalidad objetivo de políticas vivienda Centro Histórico?,PPDUS,fd9dfc4a
¿Qué se busca lograr viviendas deshabitadas revitalizar zona?,PPDUS,fd9dfc4a
¿Qué tipo de actividades se promueven en el Centro Histórico?,PPDUS,a3c7b974
¿Cómo se enfoca el crecimiento económico en la zona?,PPDUS,a3c7b974
¿Qué medidas incluye el Plan de Manejo del Centro Histórico para la seguridad de los espacios públicos?,PPDUS,deb6b1e9
¿Cómo asegura que los espacios públicos sean accesibles según el Plan de Manejo del Centro Histórico?,PPDUS,deb6b1e9
¿Qué tipo de tradiciones se promueven dentro del Centro Histórico?,PPDUS,fc7e9b44
¿Cuáles son los oficios locales que están siendo preservados en la zona?,PPDUS,fc7e9b44
¿Qué tipo de evaluaciones se llevarán a cabo para revisar el estado de conservación de los inmuebles históricos en el Centro Histórico?,PPDUS,f7ea3874
¿Cómo se planea evaluar el estado de conservación de los inmuebles históricos del Centro Histórico?,PPDUS,f7ea3874
¿Qué medidas propone el Acuerdo de Cabildo para fomentar la rehabilitación de edificios en el Centro Histórico?,PPDUS,995ced29
¿Cómo pretende el Acuerdo de Cabildo incentivar la rehabilitación de inmuebles en el Centro Histórico?,PPDUS,995ced29
¿Qué tipo de servicios se mejorará?,PPDUS,084ca92e
¿Qué suministros se proporcionarán garantizando la mejora?,PPDUS,084ca92e
¿Qué tipos de iniciativas educativas se desarrollarán?,PPDUS,45938767
¿Cómo contribuirá a la identidad comunitaria?,PPDUS,45938767
¿Qué enfoque se toma en la planificación del desarrollo urbano del Centro Histórico para equilibrar la conservación y la modernización?,PPDUS,fb9f43f8
¿Cómo se asegura el desarrollo urbano del Centro Histórico entre la conservación de su patrimonio y la incorporación de elementos modernos?,PPDUS,fb9f43f8
¿Qué espacios se crean para los residentes según el Programa Parcial del Centro Histórico?,PPDUS,be224288
¿A qué utilizan los residentes las áreas creadas por el Programa Parcial del Centro Histórico?,PPDUS,be224288
¿Qué tipo de acciones se llevarán a cabo para proteger los edificios históricos del Centro Histórico?,PPDUS,84cf7022
¿Cuáles serían los objetivos principales de las campañas de sensibilización cultural en la zona antigua?,PPDUS,84cf7022
¿Qué caracteriza a los monumentos históricos ubicados dentro del Centro Histórico según la categoría del Programa Parcial de Desarrollo Urbano Sustentable?,PPDUS,53b98fb3
¿Cuáles son las acciones obligatorias para conservación que se deben llevar a cabo con respecto a los monumentos históricos de categoría 1 en el del Centro Histórico?,PPDUS,53b98fb3
¿Qué se considera obligatorios restaurar en la categoría 2 del Centro Histórico?,PPDUS,f6555d53
¿En qué sentido los monumentos históricos modificados son relevantes en el Programa Parcial?,PPDUS,f6555d53
¿Qué determina qué tipo de peritaje necesario es para los inmuebles del patrimonio edificado?,PPDUS,6a1f8b6a
¿Cuáles son las normas establecidas que rigen los límites de la intervención en los inmuebles del patrimonio edificado?,PPDUS,6a1f8b6a
¿Qué tipo de edificios tienen intervenciones orientadas a la restauración?,PPDUS,66d5f54f
¿A qué edificaciones pertenecen los templos y los de origen religioso dentro del C1?,PPDUS,66d5f54f
¿Cómo identificaría un edificio que conserve parcialmente su estilo arquitectónico histórico?,PPDUS,d5e72790
¿Qué tipo de cambios puedo hacer en un edificio para mantener su valor patrimonial?,PPDUS,d5e72790
¿Cómo se deben abordar las intervenciones en edificios con elementos históricos aislados?,PPDUS,e0ed62f6
¿Qué se sugiere hacer con los edificios que han perdido su unidad formal debido a cambios no controlados?,PPDUS,e0ed62f6
intervención_arquitectónica,PPDUS,84c86e94
¿Qué hace que la arquitectura contemporánea discrepe del contexto histórico del patrimonio edificado?,PPDUS,d9852e39
¿De qué manera se consideran relevantes los bienes arquitectónicos en el contexto de la preservación?,PPDUS,d9852e39
